2026-04-20 00:11:31.833 | DEBUG    | api.runner_loop:_runner_loop:248 | Runner [scalping]: no new bar — skipping tick
2026-04-20 00:11:36.857 | DEBUG    | api.runner_loop:_runner_loop:248 | Runner [scalping]: no new bar — skipping tick
2026-04-20 00:11:41.866 | DEBUG    | api.runner_loop:_runner_loop:248 | Runner [scalping]: no new bar — skipping tick
2026-04-20 00:11:46.858 | DEBUG    | api.runner_loop:_runner_loop:248 | Runner [scalping]: no new bar — skipping tick
2026-04-20 00:11:51.852 | DEBUG    | api.runner_loop:_runner_loop:248 | Runner [scalping]: no new bar — skipping tick
2026-04-20 00:11:56.862 | DEBUG    | api.runner_loop:_runner_loop:248 | Runner [scalping]: no new bar — skipping tick
2026-04-20 00:12:01.855 | DEBUG    | api.runner_loop:_runner_loop:248 | Runner [scalping]: no new bar — skipping tick
2026-04-20 00:12:01.858 | DEBUG    | api.runner_loop:_runner_loop:248 | Runner [day_trading]: no new bar — skipping tick
2026-04-20 00:12:06.850 | DEBUG    | api.runner_loop:_runner_loop:248 | Runner [scalping]: no new bar — skipping tick
2026-04-20 00:12:11.859 | DEBUG    | api.runner_loop:_runner_loop:248 | Runner [scalping]: no new bar — skipping tick
2026-04-20 00:12:16.867 | DEBUG    | api.runner_loop:_runner_loop:248 | Runner [scalping]: no new bar — skipping tick
2026-04-20 00:12:21.878 | DEBUG    | api.runner_loop:_runner_loop:248 | Runner [scalping]: no new bar — skipping tick
2026-04-20 00:12:26.885 | DEBUG    | api.runner_loop:_runner_loop:248 | Runner [scalping]: no new bar — skipping tick
2026-04-20 00:12:31.895 | DEBUG    | api.runner_loop:_runner_loop:248 | Runner [scalping]: no new bar — skipping tick
2026-04-20 00:12:36.904 | DEBUG    | api.runner_loop:_runner_loop:248 | Runner [scalping]: no new bar — skipping tick
2026-04-20 00:12:41.882 | DEBUG    | api.runner_loop:_runner_loop:248 | Runner [scalping]: no new bar — skipping tick
2026-04-20 00:12:46.906 | DEBUG    | api.runner_loop:_runner_loop:248 | Runner [scalping]: no new bar — skipping tick
2026-04-20 00:12:51.899 | DEBUG    | api.runner_loop:_runner_loop:248 | Runner [scalping]: no new bar — skipping tick
2026-04-20 00:12:56.909 | DEBUG    | api.runner_loop:_runner_loop:248 | Runner [scalping]: no new bar — skipping tick
2026-04-20 00:13:01.920 | DEBUG    | api.runner_loop:_runner_loop:248 | Runner [scalping]: no new bar — skipping tick
2026-04-20 00:13:01.922 | DEBUG    | api.runner_loop:_runner_loop:248 | Runner [day_trading]: no new bar — skipping tick
2026-04-20 00:13:06.931 | DEBUG    | api.runner_loop:_runner_loop:248 | Runner [scalping]: no new bar — skipping tick
2026-04-20 00:13:11.956 | DEBUG    | api.runner_loop:_runner_loop:248 | Runner [scalping]: no new bar — skipping tick
2026-04-20 00:13:16.967 | DEBUG    | api.runner_loop:_runner_loop:248 | Runner [scalping]: no new bar — skipping tick
2026-04-20 00:13:21.975 | DEBUG    | api.runner_loop:_runner_loop:248 | Runner [scalping]: no new bar — skipping tick
2026-04-20 00:13:27.001 | DEBUG    | api.runner_loop:_runner_loop:248 | Runner [scalping]: no new bar — skipping tick
2026-04-20 00:13:32.011 | DEBUG    | api.runner_loop:_runner_loop:248 | Runner [scalping]: no new bar — skipping tick
2026-04-20 00:13:37.034 | DEBUG    | api.runner_loop:_runner_loop:248 | Runner [scalping]: no new bar — skipping tick
